VV20_RS01570 335250 335335 NZ_LBME01000001.1 red
VV20_RS02115 460830 460905 NZ_LBME01000001.1 red
VV20_RS02250 491019 491096 NZ_LBME01000001.1 red
VV20_RS02640 574378 574454 NZ_LBME01000001.1 red
VV20_RS02695 581405 581481 NZ_LBME01000001.1 red
VV20_RS02700 581487 581564 NZ_LBME01000001.1 red
VV20_RS02705 581568 581644 NZ_LBME01000001.1 red
VV20_RS02815 113 1659 NZ_LBME01000002.1 blue
VV20_RS02820 2042 4958 NZ_LBME01000002.1 blue
VV20_RS02825 5162 5277 NZ_LBME01000002.1 blue
VV20_RS04385 358421 358495 NZ_LBME01000002.1 red
VV20_RS05290 185620 185716 NZ_LBME01000003.1 red
VV20_RS07415 353167 353244 NZ_LBME01000004.1 red
VV20_RS07435 356554 356631 NZ_LBME01000004.1 red
VV20_RS07440 356703 356780 NZ_LBME01000004.1 red
VV20_RS07445 356793 356870 NZ_LBME01000004.1 red
VV20_RS07450 356942 357019 NZ_LBME01000004.1 red
VV20_RS07455 357029 357106 NZ_LBME01000004.1 red
VV20_RS07460 357212 357303 NZ_LBME01000004.1 red
VV20_RS09200 18272 18348 NZ_LBME01000006.1 red
VV20_RS09720 136265 136339 NZ_LBME01000006.1 red
VV20_RS09765 141455 141540 NZ_LBME01000006.1 red
VV20_RS13825 56531 56608 NZ_LBME01000007.1 red
VV20_RS14190 152403 152480 NZ_LBME01000007.1 red
VV20_RS14195 152619 152696 NZ_LBME01000007.1 red
VV20_RS14200 152797 152874 NZ_LBME01000007.1 red
VV20_RS14205 152954 153030 NZ_LBME01000007.1 red
VV20_RS14325 179491 179567 NZ_LBME01000007.1 red
VV20_RS14330 179609 179685 NZ_LBME01000007.1 red
VV20_RS14335 179707 179783 NZ_LBME01000007.1 red
VV20_RS14340 179847 179923 NZ_LBME01000007.1 red
VV20_RS14345 179965 180041 NZ_LBME01000007.1 red
VV20_RS14350 180063 180139 NZ_LBME01000007.1 red
VV20_RS14355 180191 180267 NZ_LBME01000007.1 red
VV20_RS14360 180339 180415 NZ_LBME01000007.1 red
VV20_RS14380 185863 185939 NZ_LBME01000007.1 red
VV20_RS14620 245815 245891 NZ_LBME01000007.1 red
VV20_RS14625 245945 246021 NZ_LBME01000007.1 red
VV20_RS14630 246078 246154 NZ_LBME01000007.1 red
VV20_RS14635 246245 246321 NZ_LBME01000007.1 red
VV20_RS14640 246490 246566 NZ_LBME01000007.1 red
VV20_RS14785 274165 274255 NZ_LBME01000007.1 red
VV20_RS17365 422929 423006 NZ_LBME01000008.1 red
VV20_RS18530 92011 92088 NZ_LBME01000009.1 red
VV20_RS18650 111550 111627 NZ_LBME01000009.1 red
VV20_RS18655 111651 111724 NZ_LBME01000009.1 red
VV20_RS18660 111884 111961 NZ_LBME01000009.1 red
VV20_RS18665 111980 112057 NZ_LBME01000009.1 red
VV20_RS19390 285462 285537 NZ_LBME01000009.1 red
VV20_RS19395 285572 285647 NZ_LBME01000009.1 red
VV20_RS20040 109947 110024 NZ_LBME01000010.1 red
VV20_RS20045 110037 110113 NZ_LBME01000010.1 red
VV20_RS20050 110121 110197 NZ_LBME01000010.1 red
VV20_RS20055 110368 110445 NZ_LBME01000010.1 red
VV20_RS20060 110458 110534 NZ_LBME01000010.1 red
VV20_RS20065 110542 110618 NZ_LBME01000010.1 red
VV20_RS20930 106620 106697 NZ_LBME01000011.1 red
VV20_RS22445 5199 5286 NZ_LBME01000014.1 red
VV20_RS22450 5373 5460 NZ_LBME01000014.1 red
VV20_RS23490 107073 107150 NZ_LBME01000015.1 red
VV20_RS23495 107192 107268 NZ_LBME01000015.1 red
VV20_RS23500 107322 107407 NZ_LBME01000015.1 red
VV20_RS23505 107443 107519 NZ_LBME01000015.1 red
VV20_RS23510 107546 107622 NZ_LBME01000015.1 red
VV20_RS23725 16341 16418 NZ_LBME01000016.1 red
VV20_RS23730 16719 16796 NZ_LBME01000016.1 red
VV20_RS23735 16997 17074 NZ_LBME01000016.1 red
VV20_RS23860 38381 38457 NZ_LBME01000016.1 red
VV20_RS23935 54482 54572 NZ_LBME01000016.1 red
VV20_RS25060 91757 91833 NZ_LBME01000017.1 red
VV20_RS25065 93125 93201 NZ_LBME01000017.1 red
VV20_RS25070 93230 93304 NZ_LBME01000017.1 red
VV20_RS25075 93328 93412 NZ_LBME01000017.1 red
VV20_RS25220 29190 29276 NZ_LBME01000018.1 red
VV20_RS25225 29374 29451 NZ_LBME01000018.1 red
VV20_RS26055 3942 4030 NZ_LBME01000021.1 red
VV20_RS26305 13160 13236 NZ_LBME01000022.1 red
VV20_RS26375 22458 22534 NZ_LBME01000022.1 red
VV20_RS26595 147 263 NZ_LBME01000024.1 blue
VV20_RS26775 115 191 NZ_LBME01000034.1 red
VV20_RS26780 215 292 NZ_LBME01000034.1 red
VV20_RS26785 144 220 NZ_LBME01000035.1 red
VV20_RS26790 226 303 NZ_LBME01000035.1 red
VV20_RS26870 141 232 NZ_LBME01000060.1 blue
