VV20_RS00005 1 909 NZ_LBME01000001.1 M
VV20_RS00010 1911 2451 NZ_LBME01000001.1 M
VV20_RS00015 2512 3703 NZ_LBME01000001.1 M
VV20_RS00020 3699 4515 NZ_LBME01000001.1 M
VV20_RS00025 4514 5270 NZ_LBME01000001.1 M
VV20_RS00030 5285 5843 NZ_LBME01000001.1 M
VV20_RS00035 5839 6583 NZ_LBME01000001.1 M
VV20_RS00040 6759 7623 NZ_LBME01000001.1 M
VV20_RS00045 7808 8546 NZ_LBME01000001.1 M
VV20_RS00065 13659 14862 NZ_LBME01000001.1 M
VV20_RS00070 15061 16591 NZ_LBME01000001.1 M
VV20_RS00075 16587 17148 NZ_LBME01000001.1 M
VV20_RS00080 17245 17650 NZ_LBME01000001.1 M
VV20_RS26880 17649 19611 NZ_LBME01000001.1 M
VV20_RS00095 19611 20664 NZ_LBME01000001.1 M
VV20_RS00100 21533 22403 NZ_LBME01000001.1 M
VV20_RS00105 23421 23751 NZ_LBME01000001.1 M
VV20_RS00110 23984 24347 NZ_LBME01000001.1 M
VV20_RS00115 24397 25012 NZ_LBME01000001.1 M
VV20_RS00130 28896 29091 NZ_LBME01000001.1 M
VV20_RS00150 31310 32003 NZ_LBME01000001.1 M
VV20_RS00160 33224 33491 NZ_LBME01000001.1 M
VV20_RS00165 33505 34498 NZ_LBME01000001.1 M
VV20_RS00170 34552 36103 NZ_LBME01000001.1 M
VV20_RS00175 36212 37229 NZ_LBME01000001.1 M
VV20_RS00190 40454 41762 NZ_LBME01000001.1 M
VV20_RS00195 41848 42688 NZ_LBME01000001.1 M
VV20_RS00205 43742 44696 NZ_LBME01000001.1 M
VV20_RS00215 45715 47029 NZ_LBME01000001.1 M
VV20_RS00220 47101 47941 NZ_LBME01000001.1 M
VV20_RS00225 48193 48409 NZ_LBME01000001.1 M
VV20_RS00230 48458 49559 NZ_LBME01000001.1 M
VV20_RS00235 49584 50151 NZ_LBME01000001.1 M
VV20_RS00240 50218 50890 NZ_LBME01000001.1 M
VV20_RS00245 50935 51268 NZ_LBME01000001.1 M
VV20_RS00250 51362 51923 NZ_LBME01000001.1 M
VV20_RS00255 51981 52767 NZ_LBME01000001.1 M
VV20_RS00260 53176 53542 NZ_LBME01000001.1 M
VV20_RS00265 53883 54510 NZ_LBME01000001.1 M
VV20_RS00270 54531 54915 NZ_LBME01000001.1 M
VV20_RS00275 54917 55388 NZ_LBME01000001.1 M
VV20_RS00280 55436 55832 NZ_LBME01000001.1 M
VV20_RS00290 56604 57147 NZ_LBME01000001.1 M
VV20_RS00315 60604 61414 NZ_LBME01000001.1 M
VV20_RS00340 66701 66911 NZ_LBME01000001.1 M
VV20_RS00360 70862 73928 NZ_LBME01000001.1 M
VV20_RS00365 73934 75035 NZ_LBME01000001.1 M
VV20_RS00375 76964 77741 NZ_LBME01000001.1 M
VV20_RS00385 78468 79155 NZ_LBME01000001.1 M
VV20_RS00390 79161 79992 NZ_LBME01000001.1 M
VV20_RS00395 80021 80891 NZ_LBME01000001.1 M
VV20_RS00400 80894 81182 NZ_LBME01000001.1 M
VV20_RS00405 81311 81986 NZ_LBME01000001.1 M
VV20_RS00410 82073 82724 NZ_LBME01000001.1 M
VV20_RS00415 82981 85609 NZ_LBME01000001.1 M
VV20_RS00435 87720 88047 NZ_LBME01000001.1 M
VV20_RS00440 88043 88967 NZ_LBME01000001.1 M
VV20_RS00445 88938 90216 NZ_LBME01000001.1 M
VV20_RS00450 90287 90836 NZ_LBME01000001.1 M
VV20_RS00455 90865 91570 NZ_LBME01000001.1 M
VV20_RS00460 91713 93216 NZ_LBME01000001.1 M
VV20_RS00465 93305 94220 NZ_LBME01000001.1 M
VV20_RS00470 94492 95497 NZ_LBME01000001.1 M
VV20_RS00475 95548 96562 NZ_LBME01000001.1 M
VV20_RS00480 96558 98826 NZ_LBME01000001.1 M
VV20_RS00485 98822 99488 NZ_LBME01000001.1 M
VV20_RS00490 99484 100729 NZ_LBME01000001.1 M
VV20_RS00495 100725 101232 NZ_LBME01000001.1 M
VV20_RS00500 101237 102860 NZ_LBME01000001.1 M
VV20_RS00505 102989 103676 NZ_LBME01000001.1 M
VV20_RS00520 105843 106950 NZ_LBME01000001.1 M
VV20_RS00530 109485 111195 NZ_LBME01000001.1 M
VV20_RS00535 111207 111750 NZ_LBME01000001.1 M
VV20_RS00555 114446 114845 NZ_LBME01000001.1 M
VV20_RS00560 114971 116381 NZ_LBME01000001.1 M
VV20_RS00565 116546 117851 NZ_LBME01000001.1 M
VV20_RS00570 117933 118695 NZ_LBME01000001.1 M
VV20_RS00575 118847 119744 NZ_LBME01000001.1 M
VV20_RS00585 121643 122051 NZ_LBME01000001.1 M
VV20_RS00590 122145 122496 NZ_LBME01000001.1 M
VV20_RS00595 122538 123291 NZ_LBME01000001.1 M
VV20_RS00600 123294 123831 NZ_LBME01000001.1 M
VV20_RS00605 123836 124088 NZ_LBME01000001.1 M
VV20_RS00610 124323 125700 NZ_LBME01000001.1 M
VV20_RS00630 129672 130854 NZ_LBME01000001.1 M
VV20_RS00635 130930 131398 NZ_LBME01000001.1 M
VV20_RS00640 131457 131658 NZ_LBME01000001.1 M
VV20_RS00645 131650 132175 NZ_LBME01000001.1 M
VV20_RS00650 132216 132816 NZ_LBME01000001.1 M
VV20_RS00675 140522 141182 NZ_LBME01000001.1 M
VV20_RS00680 141178 141565 NZ_LBME01000001.1 M
VV20_RS00685 141561 142650 NZ_LBME01000001.1 M
VV20_RS00690 142646 143237 NZ_LBME01000001.1 M
VV20_RS00695 143233 143602 NZ_LBME01000001.1 M
VV20_RS00700 143598 144036 NZ_LBME01000001.1 M
VV20_RS00705 144039 144474 NZ_LBME01000001.1 M
VV20_RS00710 144498 145695 NZ_LBME01000001.1 M
VV20_RS00715 145698 147147 NZ_LBME01000001.1 M
VV20_RS00720 147146 149099 NZ_LBME01000001.1 M
VV20_RS00725 149102 149528 NZ_LBME01000001.1 M
VV20_RS00730 149524 151165 NZ_LBME01000001.1 M
VV20_RS00740 153564 154530 NZ_LBME01000001.1 M
VV20_RS00760 155997 156309 NZ_LBME01000001.1 M
VV20_RS00765 156312 160212 NZ_LBME01000001.1 M
VV20_RS00775 162056 162536 NZ_LBME01000001.1 M
VV20_RS00780 162535 163921 NZ_LBME01000001.1 M
VV20_RS00790 167139 168717 NZ_LBME01000001.1 M
VV20_RS00795 168843 170313 NZ_LBME01000001.1 M
VV20_RS00800 170399 170957 NZ_LBME01000001.1 M
VV20_RS00825 175685 176360 NZ_LBME01000001.1 M
VV20_RS00830 176377 177091 NZ_LBME01000001.1 M
VV20_RS00835 177077 178547 NZ_LBME01000001.1 M
VV20_RS00845 179614 180469 NZ_LBME01000001.1 M
VV20_RS00850 180586 181930 NZ_LBME01000001.1 M
VV20_RS00855 181970 183125 NZ_LBME01000001.1 M
VV20_RS00860 183128 183974 NZ_LBME01000001.1 M
VV20_RS00865 183966 184875 NZ_LBME01000001.1 M
VV20_RS00870 185068 186355 NZ_LBME01000001.1 M
VV20_RS00875 186459 187686 NZ_LBME01000001.1 M
VV20_RS00880 187788 189243 NZ_LBME01000001.1 M
VV20_RS00885 189223 189949 NZ_LBME01000001.1 M
VV20_RS00890 190014 190974 NZ_LBME01000001.1 M
VV20_RS00895 190970 192797 NZ_LBME01000001.1 M
VV20_RS00925 199472 199757 NZ_LBME01000001.1 M
VV20_RS00930 199811 201239 NZ_LBME01000001.1 M
VV20_RS00995 216154 217216 NZ_LBME01000001.1 M
VV20_RS01000 217208 218324 NZ_LBME01000001.1 M
VV20_RS01030 225126 225408 NZ_LBME01000001.1 M
VV20_RS01040 226809 227094 NZ_LBME01000001.1 M
VV20_RS01045 227133 227604 NZ_LBME01000001.1 M
VV20_RS01050 227706 228987 NZ_LBME01000001.1 M
VV20_RS01055 229000 229651 NZ_LBME01000001.1 M
VV20_RS01060 229763 230810 NZ_LBME01000001.1 M
VV20_RS01065 230812 232138 NZ_LBME01000001.1 M
VV20_RS01070 232264 232900 NZ_LBME01000001.1 M
VV20_RS01075 232991 234257 NZ_LBME01000001.1 M
VV20_RS01080 234280 234520 NZ_LBME01000001.1 M
VV20_RS01085 234638 234941 NZ_LBME01000001.1 M
VV20_RS01090 234937 235591 NZ_LBME01000001.1 M
VV20_RS01095 235600 236086 NZ_LBME01000001.1 M
VV20_RS01100 236085 236883 NZ_LBME01000001.1 M
VV20_RS01105 236882 237692 NZ_LBME01000001.1 M
VV20_RS01160 244996 245890 NZ_LBME01000001.1 M
VV20_RS01165 245901 246513 NZ_LBME01000001.1 M
VV20_RS01170 246514 246976 NZ_LBME01000001.1 M
VV20_RS01175 247003 248380 NZ_LBME01000001.1 M
VV20_RS01180 248372 248765 NZ_LBME01000001.1 M
VV20_RS01185 248900 250247 NZ_LBME01000001.1 M
VV20_RS01195 250965 252405 NZ_LBME01000001.1 M
VV20_RS01200 252407 253259 NZ_LBME01000001.1 M
VV20_RS01205 253273 257086 NZ_LBME01000001.1 M
VV20_RS01210 257241 258699 NZ_LBME01000001.1 M
VV20_RS01215 258753 259365 NZ_LBME01000001.1 M
VV20_RS01220 259398 259887 NZ_LBME01000001.1 M
VV20_RS01225 259886 260888 NZ_LBME01000001.1 M
VV20_RS01230 261113 262151 NZ_LBME01000001.1 M
VV20_RS01260 267286 268642 NZ_LBME01000001.1 M
VV20_RS01265 268697 269639 NZ_LBME01000001.1 M
VV20_RS01270 269846 270407 NZ_LBME01000001.1 M
VV20_RS01275 270406 271663 NZ_LBME01000001.1 M
VV20_RS01325 283707 284595 NZ_LBME01000001.1 M
VV20_RS01355 290574 292158 NZ_LBME01000001.1 M
VV20_RS01360 292258 292588 NZ_LBME01000001.1 M
VV20_RS01365 292571 292940 NZ_LBME01000001.1 M
VV20_RS01390 296844 299274 NZ_LBME01000001.1 M
VV20_RS01395 299476 300418 NZ_LBME01000001.1 M
VV20_RS01400 300435 300924 NZ_LBME01000001.1 M
VV20_RS01410 302642 303392 NZ_LBME01000001.1 M
VV20_RS01415 303395 304076 NZ_LBME01000001.1 M
VV20_RS01430 309401 310193 NZ_LBME01000001.1 M
VV20_RS01435 310180 311329 NZ_LBME01000001.1 M
VV20_RS01440 311448 312912 NZ_LBME01000001.1 M
VV20_RS01445 313029 314172 NZ_LBME01000001.1 M
VV20_RS01450 314173 314815 NZ_LBME01000001.1 M
VV20_RS01455 314854 316144 NZ_LBME01000001.1 M
VV20_RS01460 316168 317278 NZ_LBME01000001.1 M
VV20_RS01465 317281 318313 NZ_LBME01000001.1 M
VV20_RS01470 318309 319071 NZ_LBME01000001.1 M
VV20_RS01475 319084 320230 NZ_LBME01000001.1 M
VV20_RS01480 320258 320684 NZ_LBME01000001.1 M
VV20_RS01485 320773 320974 NZ_LBME01000001.1 M
VV20_RS01490 320984 321326 NZ_LBME01000001.1 M
VV20_RS01495 321329 323192 NZ_LBME01000001.1 M
VV20_RS01500 323234 323756 NZ_LBME01000001.1 M
VV20_RS01505 323764 324088 NZ_LBME01000001.1 M
VV20_RS01510 324130 324517 NZ_LBME01000001.1 M
VV20_RS01515 324563 325778 NZ_LBME01000001.1 M
VV20_RS01520 325829 326321 NZ_LBME01000001.1 M
VV20_RS01525 326500 327286 NZ_LBME01000001.1 M
VV20_RS01530 327289 328045 NZ_LBME01000001.1 M
VV20_RS01540 329072 329618 NZ_LBME01000001.1 M
VV20_RS01545 329737 330646 NZ_LBME01000001.1 M
VV20_RS01550 330656 332519 NZ_LBME01000001.1 M
VV20_RS01555 332581 332917 NZ_LBME01000001.1 M
VV20_RS01560 332962 334096 NZ_LBME01000001.1 M
VV20_RS01565 334092 335142 NZ_LBME01000001.1 M
VV20_RS01575 335451 336783 NZ_LBME01000001.1 M
VV20_RS01590 338870 339638 NZ_LBME01000001.1 M
VV20_RS01595 339634 340462 NZ_LBME01000001.1 M
VV20_RS01600 340455 341250 NZ_LBME01000001.1 M
VV20_RS01605 341246 342101 NZ_LBME01000001.1 M
VV20_RS01620 344467 344854 NZ_LBME01000001.1 M
VV20_RS01625 344873 345413 NZ_LBME01000001.1 M
VV20_RS01630 345409 345973 NZ_LBME01000001.1 M
VV20_RS01635 346116 346368 NZ_LBME01000001.1 M
VV20_RS01640 346360 346645 NZ_LBME01000001.1 M
VV20_RS01645 347084 347468 NZ_LBME01000001.1 M
VV20_RS01650 347621 348830 NZ_LBME01000001.1 M
VV20_RS01655 349071 349959 NZ_LBME01000001.1 M
VV20_RS01660 349970 350303 NZ_LBME01000001.1 M
VV20_RS01665 350302 350926 NZ_LBME01000001.1 M
VV20_RS01670 350929 352952 NZ_LBME01000001.1 M
VV20_RS01675 352955 353900 NZ_LBME01000001.1 M
VV20_RS01680 354458 354965 NZ_LBME01000001.1 M
VV20_RS01685 355339 356518 NZ_LBME01000001.1 M
VV20_RS01730 378563 378815 NZ_LBME01000001.1 M
VV20_RS01735 378811 379063 NZ_LBME01000001.1 M
VV20_RS01775 389426 389903 NZ_LBME01000001.1 M
VV20_RS01785 390443 392183 NZ_LBME01000001.1 M
VV20_RS01790 392179 393127 NZ_LBME01000001.1 M
VV20_RS01795 393127 395980 NZ_LBME01000001.1 M
VV20_RS01810 398057 400070 NZ_LBME01000001.1 M
VV20_RS01815 400172 401003 NZ_LBME01000001.1 M
VV20_RS01820 400999 401572 NZ_LBME01000001.1 M
VV20_RS01825 401657 403823 NZ_LBME01000001.1 M
VV20_RS01835 404989 405952 NZ_LBME01000001.1 M
VV20_RS01845 407112 408429 NZ_LBME01000001.1 M
VV20_RS01855 409786 410890 NZ_LBME01000001.1 M
VV20_RS01860 411014 411497 NZ_LBME01000001.1 M
VV20_RS01865 411638 412124 NZ_LBME01000001.1 M
VV20_RS01880 414665 415388 NZ_LBME01000001.1 M
VV20_RS01885 415497 416142 NZ_LBME01000001.1 M
VV20_RS01890 416258 416951 NZ_LBME01000001.1 M
VV20_RS01895 416947 418555 NZ_LBME01000001.1 M
VV20_RS01900 418714 421432 NZ_LBME01000001.1 M
VV20_RS01905 421705 423070 NZ_LBME01000001.1 M
VV20_RS01910 423095 425015 NZ_LBME01000001.1 M
VV20_RS01915 425346 427029 NZ_LBME01000001.1 M
VV20_RS01935 430104 430920 NZ_LBME01000001.1 M
VV20_RS01940 431017 431638 NZ_LBME01000001.1 M
VV20_RS01945 431653 431914 NZ_LBME01000001.1 M
VV20_RS01950 431913 432099 NZ_LBME01000001.1 M
VV20_RS01960 433422 433683 NZ_LBME01000001.1 M
VV20_RS01970 434123 434708 NZ_LBME01000001.1 M
VV20_RS01985 437366 437657 NZ_LBME01000001.1 M
VV20_RS01990 437724 438195 NZ_LBME01000001.1 M
VV20_RS01995 438248 438722 NZ_LBME01000001.1 M
VV20_RS02000 438724 439282 NZ_LBME01000001.1 M
VV20_RS02015 441395 442409 NZ_LBME01000001.1 M
VV20_RS02020 442422 443328 NZ_LBME01000001.1 M
VV20_RS02050 448651 449170 NZ_LBME01000001.1 M
VV20_RS02055 449275 450073 NZ_LBME01000001.1 M
VV20_RS02060 450065 450821 NZ_LBME01000001.1 M
VV20_RS02065 450814 451645 NZ_LBME01000001.1 M
VV20_RS02070 451644 452727 NZ_LBME01000001.1 M
VV20_RS02075 452723 454001 NZ_LBME01000001.1 M
VV20_RS02145 466394 467405 NZ_LBME01000001.1 M
VV20_RS02150 467394 468480 NZ_LBME01000001.1 M
VV20_RS02155 468479 469991 NZ_LBME01000001.1 M
VV20_RS02160 470004 471102 NZ_LBME01000001.1 M
VV20_RS02165 471142 472339 NZ_LBME01000001.1 M
VV20_RS02170 472375 473193 NZ_LBME01000001.1 M
VV20_RS02175 473244 473865 NZ_LBME01000001.1 M
VV20_RS02185 474647 474962 NZ_LBME01000001.1 M
VV20_RS02205 478608 481008 NZ_LBME01000001.1 M
VV20_RS02210 481064 482117 NZ_LBME01000001.1 M
VV20_RS02215 482147 482774 NZ_LBME01000001.1 M
VV20_RS02235 487067 488228 NZ_LBME01000001.1 M
VV20_RS02240 488599 489811 NZ_LBME01000001.1 M
VV20_RS02255 491300 491861 NZ_LBME01000001.1 M
VV20_RS02260 491991 492447 NZ_LBME01000001.1 M
VV20_RS02265 492443 493232 NZ_LBME01000001.1 M
VV20_RS02285 498373 498835 NZ_LBME01000001.1 M
VV20_RS02290 498831 499950 NZ_LBME01000001.1 M
VV20_RS02295 500037 501264 NZ_LBME01000001.1 M
VV20_RS02300 501454 501712 NZ_LBME01000001.1 M
VV20_RS02305 501750 502065 NZ_LBME01000001.1 M
VV20_RS02325 504245 504509 NZ_LBME01000001.1 M
VV20_RS02330 504971 505277 NZ_LBME01000001.1 M
VV20_RS02335 505421 505910 NZ_LBME01000001.1 M
VV20_RS02340 506111 506450 NZ_LBME01000001.1 M
VV20_RS02345 506613 509052 NZ_LBME01000001.1 M
VV20_RS02365 512455 513796 NZ_LBME01000001.1 M
VV20_RS02370 514040 515687 NZ_LBME01000001.1 M
VV20_RS02415 525778 526513 NZ_LBME01000001.1 M
VV20_RS02420 526509 526950 NZ_LBME01000001.1 M
VV20_RS02425 526954 527272 NZ_LBME01000001.1 M
VV20_RS02445 530948 531920 NZ_LBME01000001.1 M
VV20_RS02450 531963 533268 NZ_LBME01000001.1 M
VV20_RS02465 536101 536554 NZ_LBME01000001.1 M
VV20_RS02480 538781 541196 NZ_LBME01000001.1 M
VV20_RS02485 541219 542203 NZ_LBME01000001.1 M
VV20_RS02490 543163 543562 NZ_LBME01000001.1 M
VV20_RS02510 550246 551437 NZ_LBME01000001.1 M
VV20_RS02515 551486 552086 NZ_LBME01000001.1 M
VV20_RS02520 552102 553584 NZ_LBME01000001.1 M
VV20_RS02525 553580 554513 NZ_LBME01000001.1 M
VV20_RS02530 554641 555580 NZ_LBME01000001.1 M
VV20_RS02535 555605 556112 NZ_LBME01000001.1 M
VV20_RS02550 558370 558592 NZ_LBME01000001.1 M
VV20_RS02555 559713 560184 NZ_LBME01000001.1 M
VV20_RS02560 560180 561497 NZ_LBME01000001.1 M
VV20_RS02565 561702 562281 NZ_LBME01000001.1 M
VV20_RS02585 564884 565421 NZ_LBME01000001.1 M
VV20_RS02595 566020 566473 NZ_LBME01000001.1 M
VV20_RS02600 567202 567355 NZ_LBME01000001.1 M
VV20_RS02620 569435 570548 NZ_LBME01000001.1 M
VV20_RS02635 573233 574196 NZ_LBME01000001.1 M
VV20_RS02645 574524 574935 NZ_LBME01000001.1 M
VV20_RS02670 578178 578919 NZ_LBME01000001.1 M
VV20_RS02710 582066 584631 NZ_LBME01000001.1 M
VV20_RS02715 584817 585558 NZ_LBME01000001.1 M
VV20_RS02720 585554 586517 NZ_LBME01000001.1 M
VV20_RS02735 588113 589211 NZ_LBME01000001.1 M
VV20_RS02740 589264 589654 NZ_LBME01000001.1 M
VV20_RS02745 589655 590129 NZ_LBME01000001.1 M
VV20_RS02750 590125 590773 NZ_LBME01000001.1 M
VV20_RS02755 590769 590979 NZ_LBME01000001.1 M
VV20_RS02765 591580 592528 NZ_LBME01000001.1 M
VV20_RS02770 592542 592980 NZ_LBME01000001.1 M
VV20_RS02775 592972 593488 NZ_LBME01000001.1 M
VV20_RS02780 593480 596312 NZ_LBME01000001.1 M
VV20_RS02785 596308 597259 NZ_LBME01000001.1 M
VV20_RS02790 597377 598916 NZ_LBME01000001.1 M
VV20_RS02800 599584 601885 NZ_LBME01000001.1 M
VV20_RS02805 601877 602501 NZ_LBME01000001.1 M
VV20_RS02810 602487 603147 NZ_LBME01000001.1 M
VV20_RS02845 14848 15799 NZ_LBME01000002.1 M
VV20_RS02860 18506 18806 NZ_LBME01000002.1 M
VV20_RS02865 18862 19840 NZ_LBME01000002.1 M
VV20_RS02870 19850 20339 NZ_LBME01000002.1 M
VV20_RS02875 20578 20923 NZ_LBME01000002.1 M
VV20_RS02880 21039 21933 NZ_LBME01000002.1 M
VV20_RS02890 22765 23080 NZ_LBME01000002.1 M
VV20_RS02910 26729 28649 NZ_LBME01000002.1 M
VV20_RS02915 28836 29721 NZ_LBME01000002.1 M
VV20_RS02930 31283 32369 NZ_LBME01000002.1 M
VV20_RS02935 32365 33661 NZ_LBME01000002.1 M
VV20_RS02940 33815 35036 NZ_LBME01000002.1 M
VV20_RS02960 38025 39150 NZ_LBME01000002.1 M
VV20_RS02965 39242 39953 NZ_LBME01000002.1 M
VV20_RS02975 41004 41424 NZ_LBME01000002.1 M
VV20_RS02985 43064 44582 NZ_LBME01000002.1 M
VV20_RS02990 44845 45211 NZ_LBME01000002.1 M
VV20_RS02995 45314 45950 NZ_LBME01000002.1 M
VV20_RS03015 49527 51039 NZ_LBME01000002.1 M
VV20_RS03025 53630 54809 NZ_LBME01000002.1 M
VV20_RS03040 57351 57693 NZ_LBME01000002.1 M
VV20_RS03045 57685 57982 NZ_LBME01000002.1 M
VV20_RS03050 57991 58684 NZ_LBME01000002.1 M
