NZ_LBME01000001.1 1 603319
NZ_LBME01000002.1 1 380647
NZ_LBME01000003.1 1 330953
NZ_LBME01000004.1 1 411564
NZ_LBME01000005.1 1 297058
NZ_LBME01000006.1 1 995817
NZ_LBME01000007.1 1 368547
NZ_LBME01000008.1 1 548706
NZ_LBME01000009.1 1 338274
NZ_LBME01000010.1 1 201419
NZ_LBME01000011.1 1 163648
NZ_LBME01000012.1 1 146515
NZ_LBME01000013.1 1 123696
NZ_LBME01000014.1 1 122333
NZ_LBME01000015.1 1 144258
NZ_LBME01000016.1 1 193893
NZ_LBME01000017.1 1 95888
NZ_LBME01000018.1 1 77103
NZ_LBME01000019.1 1 76889
NZ_LBME01000020.1 1 56373
NZ_LBME01000021.1 1 41110
NZ_LBME01000022.1 1 36590
NZ_LBME01000023.1 1 31161
NZ_LBME01000024.1 1 28834
NZ_LBME01000025.1 1 2819
NZ_LBME01000026.1 1 725
NZ_LBME01000027.1 1 699
NZ_LBME01000028.1 1 648
NZ_LBME01000029.1 1 507
NZ_LBME01000030.1 1 442
NZ_LBME01000031.1 1 431
NZ_LBME01000032.1 1 424
NZ_LBME01000033.1 1 419
NZ_LBME01000034.1 1 417
NZ_LBME01000035.1 1 409
NZ_LBME01000036.1 1 340
NZ_LBME01000040.1 1 308
NZ_LBME01000042.1 1 305
NZ_LBME01000043.1 1 303
NZ_LBME01000045.1 1 266
NZ_LBME01000046.1 1 263
NZ_LBME01000047.1 1 263
NZ_LBME01000048.1 1 260
NZ_LBME01000050.1 1 260
NZ_LBME01000051.1 1 253
NZ_LBME01000052.1 1 252
NZ_LBME01000053.1 1 252
NZ_LBME01000054.1 1 251
NZ_LBME01000055.1 1 250
NZ_LBME01000057.1 1 245
NZ_LBME01000060.1 1 231
NZ_LBME01000062.1 1 209
